hospcode,SUM of total_result,SUM of total_target,provcode
11151,5155,1550,
11152,15403,4571,
11153,1498,538,
11154,6508,1896,
11155,3842,1389,
11156,5893,1856,
11157,3558,1232,
11158,24176,3438,
11159,12356,2490,
11160,4486,1454,
11161,5354,1121,
11162,14241,2486,
11163,21836,3322,
11164,10203,2142,
11165,1472,308,
11166,3964,1503,
11167,6495,1983,
11169,6127,2204,
11170,7709,2907,
11171,3751,1693,
11172,14570,2155,
11173,3008,1043,
11174,2143,814,
11175,12461,3279,
11176,15070,3837,
11177,19908,4339,
11178,5367,1532,
11179,7363,1696,
11180,2403,993,
11181,4916,1309,
11182,2007,527,
11183,3041,831,
11184,7304,1834,
11185,5325,1419,
11186,13360,3199,
11187,8858,1967,
11188,6411,1565,
11189,14123,3656,
11190,20581,4759,
11191,5645,2235,
11192,38933,8707,
11193,29285,5109,
11194,74646,14973,
11195,18291,3931,
11196,9872,2347,
11197,12300,2400,
11198,43957,6640,
11199,32659,4248,
11200,17057,3726,
11201,20092,4424,
11202,6812,1491,
11203,5900,1965,
11204,10377,2492,
11205,23922,5934,
11206,5739,1842,
11207,7171,1454,
11208,5968,1908,
11209,8480,1551,
11210,9817,2115,
11211,11453,2618,
11212,41753,7779,
11213,10803,1729,
11214,27066,5336,
11215,23116,3988,
11216,12800,3093,
11217,6247,1580,
11218,20239,4054,
11219,5512,1153,
11220,5971,1389,
11221,14826,3020,
11222,8173,1461,
11223,15678,3445,
11224,2232,493,
11225,18989,3757,
11226,12399,2658,
11227,8599,1639,
11228,2433,560,
11229,8171,1725,
11230,18525,4547,
11231,21030,4060,
11232,23173,5088,
11233,12055,2632,
11234,6343,1688,
11235,4759,1801,
11236,6014,1237,
11238,12243,2110,
11239,6731,1227,
11240,34860,7249,
11241,69098,9563,
11242,28354,5132,
11243,22978,4268,
11244,5453,1535,
11245,7865,2028,
11246,7762,2130,
11247,10256,2558,
11248,28718,4592,
11249,3753,865,
11250,6190,1489,
11251,16962,3064,
11252,25666,4468,
11253,9941,2278,
11254,13665,2540,
11255,51849,6453,
11256,94911,11142,
11257,6660,1726,
11258,11496,2940,
11259,6906,1608,
11260,21837,5076,
11261,18697,3419,
11262,6423,1410,
11263,6863,1696,
11264,12896,3167,
11265,47721,9787,
11266,43599,10468,
11267,14110,2761,
11268,83601,11049,
11269,23471,4435,
11270,15877,2905,
11271,10105,2177,
11272,9217,2170,
11273,26321,4541,
11274,33891,3313,
11275,9812,1364,
11276,16780,3196,
11277,5126,1071,
11278,8398,2320,
11279,6483,1216,
11280,11022,2302,
11281,3341,697,
11282,32371,6732,
11283,25572,5785,
11284,19736,3099,
11285,17864,3197,
11286,10943,2535,
11287,15227,2658,
11288,4820,1052,
11289,30647,5720,
11290,35541,6178,
11291,59943,8522,
11292,27595,4775,
11293,20702,3954,
11294,14724,2991,
11295,55158,9107,
11296,14734,3389,
11297,37116,5968,
11298,5815,1230,
11299,25909,3780,
11300,25132,2877,
11301,13602,2166,
11302,32986,5969,
11303,59197,7231,
11304,187936,17724,
11305,78394,18620,
11306,35553,4943,
11307,9937,989,
11308,38971,4244,
11309,28367,3115,
11310,45501,5522,
11311,28994,4863,
11312,29768,3077,
11313,20913,2418,
11314,21500,2566,
11315,8066,1187,
11316,15110,2627,
11317,43128,7878,
11318,12578,2244,
11319,24465,3830,
11320,106026,13398,
11321,29110,4222,
11322,18889,2950,
11323,2736,550,
11324,17193,4058,
11325,50587,7225,
11326,7910,1352,
11327,9690,1734,
11328,30740,4884,
11329,60977,11932,
11330,126113,21193,
11331,12206,2232,
11332,17630,3371,
11333,65709,7889,
11334,31439,5525,
11335,119294,18044,
11336,58226,7063,
11337,16431,3541,
11338,14253,3277,
11339,4980,1099,
11340,14117,2665,
11341,30962,4021,
11342,37525,5707,
11343,34344,4245,
11344,59948,7558,
11345,14731,2411,
11346,14433,2155,
11347,18833,2068,
11348,3926,767,
11349,25265,2919,
11352,12465,1828,
11353,18003,2394,
11354,15977,2262,
11355,48532,5685,
11356,75773,9939,
11357,39557,8217,
11358,8648,1822,
11359,31027,4337,
11360,34581,5347,
11361,20793,3553,
11362,8588,3071,
11363,7286,1615,
11364,29616,6062,
11365,41346,3532,
11366,56390,7365,
11367,36918,5052,
11368,29983,4311,
11369,33293,5428,
11370,47413,6915,
11371,7949,1495,
11372,5913,1117,
11373,14781,1841,
11374,11662,1291,
11375,28929,2981,
11376,42396,6056,
11377,8470,1874,
11378,15112,2493,
11379,56384,9295,
11380,12516,2331,
11381,13282,2338,
11382,12074,1789,
11383,35273,6350,
11385,7179,1238,
11386,11157,2354,
11387,84932,8396,
11388,34540,7325,
11390,60836,7388,
11391,34901,3474,
11392,14019,2292,
11393,3467,655,
11394,23164,3376,
11395,32070,4327,
11396,26556,2043,
11397,17599,2357,
11398,16902,2098,
11399,24996,2673,
11400,26280,3002,
11401,12035,1635,
11402,20162,2885,
11403,6857,1526,
11404,21556,3064,
11405,39388,6154,
11406,10027,1840,
11407,56318,8098,
11408,64799,8853,
11409,30741,4570,
11410,15304,3254,
11411,30085,6816,
11412,52944,4296,
11413,21172,3742,
11414,26044,3588,
11415,9560,2694,
11416,10693,2119,
11417,25351,5786,
11418,14382,2716,
11419,7880,1574,
11420,9012,1775,
11421,9147,1648,
11422,10074,2007,
11423,76177,9256,
11424,29206,3664,
11425,31257,3668,
11426,86369,7001,
11427,21236,3126,
11428,19040,2175,
11429,102830,10754,
11430,31779,4529,
11431,8531,1285,
11432,35841,5958,
11433,7573,1766,
11434,80231,11735,
11435,39423,3712,
11436,26888,4296,
11437,61670,9401,
11438,16348,3889,
11439,30454,4423,
11440,9569,1798,
11441,11039,1800,
11442,15064,2364,
11443,81382,17803,
11444,38831,7849,
11445,62486,10412,
11446,43579,7910,
11447,10939,3527,
11448,60441,12884,
11449,44119,9104,
11450,73730,13170,
11451,32685,7861,
11452,5522,1593,
11453,32609,6264,
11454,19053,3660,
11455,46047,7954,
11456,27293,6546,
11457,25261,4448,
11458,21602,4354,
11459,77071,9247,
11460,80978,10902,
11461,24199,4867,
11469,44033,5421,
11470,7582,1139,
11472,144529,18340,
11473,3240,718,
11486,5685,605,
11487,3399,454,
11490,5097,792,
11492,11487,2244,
11494,827,289,
11496,28132,4875,
11501,9066,2204,
11504,892,109,
11505,107,30,
11508,442,46,
11509,4681,980,
11513,10582,1485,
11517,34010,4529,
11519,6571,896,
11520,7258,1222,
11521,2155,529,
11523,10768,2284,
11525,4091,557,
11537,13998,1479,
11540,77,10,
11541,88084,11002,
11597,53372,2138,
11602,3571,839,
11608,4951,1053,
11619,6841,2384,
11625,1934,530,
11631,13275,2194,
11643,4893,1015,
11654,7078,1861,
11660,7545,1593,
11769,7584,1001,
11775,5855,826,
11885,34786,5476,
11891,12606,1764,
11946,8051,980,
11964,6640,2335,
11978,57,19,
11995,11620,1914,
11999,16757,2756,
12042,8818,1882,
12137,86710,2052,
12244,79959,2242,
12246,12287,2787,
12249,763,76,
12250,2707,362,
12251,19646,1254,
12256,17436,2019,
12258,3032,121,
12260,75143,3143,
12262,14597,262,
12267,318,35,
12268,57803,2914,
12269,79488,2094,
12272,28256,1743,
12273,17598,2199,
12275,32420,8329,
12277,10437,551,
12279,5148,1166,
12280,72220,4065,
12283,4746,1893,
12286,9300,2626,
12287,7900,1260,
12289,24906,1216,
12290,19069,819,
12438,14905,2376,
12439,23358,2449,
13747,21312,2568,
13754,8686,1401,
13760,12228,3631,
13766,50648,7936,
13775,5744,448,
13777,157489,23711,
13785,11724,1451,
13806,11940,1888,
13815,82291,12281,
13816,3519,836,
13817,16769,2611,
13818,12899,2276,
13819,22005,2528,
14132,8097,2061,
14133,8089,2742,
14135,6301,1364,
14136,2222,451,
14138,35751,5936,
14139,10399,2509,
14161,977,117,
14171,14369,460,
14194,21169,866,
14197,3144,70,
14203,3815,1056,
14550,112697,17206,
14558,8903,1777,
14644,24526,1198,
14663,2889,474,
14717,25691,2505,
14901,1725,614,
14904,107052,15649,
14916,3379,1107,
14918,13352,1586,
14923,9691,1380,
14972,58927,10194,
15010,22279,3529,
15012,20291,3487,
15049,5849,850,
21323,6699,2139,
21356,7511,2062,
21771,10143,1705,
21948,13409,3175,
21984,77922,16371,
22302,12810,2855,
22456,4677,1266,
22734,5838,933,
22953,24459,4841,
23125,9427,2223,
23367,9704,2071,
23578,7187,2104,
23736,1800,544,
