id,hospcode,areacode,flag_sent,date_com,b_year,type_13,uc,sso,ofc,osm,ageing,child,disab,home,village,school,student,childcenter,caregiver,osk,opd,opd_visit,opd_pt,opd_pt_visit,ip
"8ec43f9ee8a5b450912a021b7b914f7e","03773","34220508","0","202206271409","2565","3030","2210","357","131","76","596","205","103",979,5,4,0,0,0,0,3321,11233,743,1193,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03772","34220503","0","202206271409","2565","3170","2310","235","80","96","722","176","90",991,7,3,0,0,0,0,3696,12373,976,1772,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03771","34220406","0","202206271409","2565","3827","2328","20","81","82","635","228","115",1076,11,4,0,0,0,0,4517,10756,968,1995,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03770","34220405","0","202206271409","2565","3010","1770","28","58","62","470","239","62",829,7,4,0,0,0,0,2675,7420,850,1757,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03769","34220301","0","202206271409","2565","5367","3978","474","153","199","936","316","282",1561,14,4,0,3,0,0,4629,12019,768,1577,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","14266","34220213","0","202206271409","2565","2360","1434","16","43","48","381","174","74",636,9,2,0,2,0,0,2528,7307,881,1740,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03767","34220201","0","202206271409","2565","2730","1921","283","71","62","501","208","152",841,8,5,0,1,0,0,3247,11315,1217,2451,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10959","34220108","0","202206271409","2565","4703","2704","87","374","66","887","180","45",1660,12,7,0,3,1,0,35354,111947,15816,41080,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03757","34200602","0","202206271409","2565","2732","1825","42","88","77","506","223","38",946,6,4,0,0,0,0,3139,11622,935,2843,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03734","34190409","0","202206271409","2565","5347","2941","9","92","132","911","424","22",1806,10,5,0,0,0,0,4911,15310,1078,3064,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03765","34210601","0","202206271409","2565","3075","1967","6","78","86","387","248","21",682,5,4,0,2,0,0,3863,13048,950,1961,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03754","34200406","0","202206271409","2565","3395","2305","64","114","76","618","219","64",1082,8,3,0,3,0,0,3006,9755,912,2468,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03741","34190908","0","202206271409","2565","6938","3450","393","297","201","1270","438","136",2444,17,5,0,1,0,0,6046,18966,1733,3958,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03575","34040703","0","202206271409","2565","6248","3993","171","163","151","1571","393","81",1797,19,3,0,0,0,0,7330,24739,3053,8517,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03761","34210310","0","202206271409","2565","3682","2468","40","111","80","542","319","107",1043,6,3,0,2,0,0,4245,15650,1412,3591,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03764","34210501","0","202206271409","2565","3556","2770","270","157","81","546","280","128",805,6,4,0,4,0,0,3772,11830,1172,3051,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03749","34191905","0","202206271409","2565","2091","972","70","32","54","385","137","69",651,4,2,0,3,0,0,2160,7493,927,2229,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03746","34191311","0","202206271409","2565","2700","1408","40","45","82","559","179","52",1144,6,4,0,2,0,0,2959,11092,1068,4181,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03737","34190605","0","202206271409","2565","3043","1716","33","53","64","455","155","66",867,8,2,0,0,0,0,2336,6994,506,1359,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03759","34210201","0","202206271409","2565","2476","1294","65","136","69","488","127","29",835,8,2,0,0,0,0,2386,7903,584,1634,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03763","34210401","0","202206271409","2565","5342","3838","420","326","82","870","438","201",1557,9,7,0,1,0,0,5009,17561,1037,2021,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03766","34210605","0","202206271409","2565","2576","2055","143","68","44","352","215","76",702,4,2,0,1,0,0,2676,9255,732,1762,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03758","34210106","0","202206271409","2565","3418","2554","263","259","60","684","281","76",909,5,3,0,2,0,0,3857,13147,1184,2699,"203.157.102.134"
